timestamp (YYYY.MM.DD-HH.MM.SS),event,time (seconds),time (formatted),file name,file path
2014.08.23-10.25.47,load,121,00:02:01,,
2014.08.23-10.27.42,load,115,00:01:55,,
2014.08.23-10.28.33,load,50,00:00:50,,
2014.08.23-10.30.43,load,130,00:02:10,,
2014.08.23-10.31.02,load,18,00:00:18,,
2014.08.23-10.31.11,load,0,00:00:00,,
2014.08.23-10.35.06,load,0,00:00:00,,
2014.08.23-10.35.32,load,0,00:00:00,,
2014.08.23-10.38.11,load,159,00:02:39,,
2014.08.25-10.54.34,load,0,00:00:00,,
2014.08.25-10.54.42,load,7,00:00:07,ebee3d_56.blend,C:\Art\Ebee3d\ebee3d_56.blend
2014.08.25-11.42.10,save,2847,00:47:27,ebee3d_56.blend,C:\Art\Ebee3d\ebee3d_56.blend
2014.08.25-11.50.20,save,490,00:08:10,ebee3d_56.blend,C:\Art\Ebee3d\ebee3d_56.blend
2014.08.25-11.51.30,save,69,00:01:09,ebee3d_56.blend,C:\Art\Ebee3d\ebee3d_56.blend
2014.08.25-13.24.18,save,5568,01:32:48,ebee3d_56.blend,C:\Art\Ebee3d\ebee3d_56.blend
2014.08.25-21.30.26,save,29167,08:06:07,ebee3d_57.blend,C:\Art\Ebee3d\ebee3d_57.blend
2014.08.25-23.37.54,load,0,00:00:00,,
2014.08.25-23.45.59,load,0,00:00:00,,
2014.08.26-16.17.58,load,59519,16:31:59,,
2014.08.26-16.18.08,load,9,00:00:09,ebee3d_57.blend,C:\Art\Ebee3d\ebee3d_57.blend
2014.08.27-22.36.18,load,0,00:00:00,,
2014.08.28-10.42.34,load,43576,12:06:16,,
2014.08.28-10.42.37,load,2,00:00:02,ebee3d_57.blend,C:\Art\Ebee3d\ebee3d_57.blend
2014.08.28-20.19.46,save,34628,09:37:08,ebee3d_58.blend,C:\Art\Ebee3d\ebee3d_58.blend
2014.08.28-21.19.12,load,0,00:00:00,,
2014.08.28-21.19.13,load,1,00:00:01,mc1_1.blend,C:\Art\Biomecha Game\Mc1\mc1_1.blend
2014.09.01-12.30.34,load,0,00:00:00,,
2014.09.01-16.46.09,load,15335,04:15:35,ebee3d_58.blend,C:\Art\Ebee3d\ebee3d_58.blend
2014.09.01-18.41.18,save,6908,01:55:08,ebee3d_59.blend,C:\Art\Ebee3d\ebee3d_59.blend
2014.09.01-18.42.23,save,64,00:01:04,ebee3d_59.blend,C:\Art\Ebee3d\ebee3d_59.blend
2014.09.01-18.45.04,save,160,00:02:40,ebee3d_59.blend,C:\Art\Ebee3d\ebee3d_59.blend
2014.09.01-18.49.59,save,294,00:04:54,ebee3d_59.blend,C:\Art\Ebee3d\ebee3d_59.blend
